#time_sec,time_ms,run,ls,nb,plt_bkg_A1,plt_bkg_A2,plt_bkg_B1,plt_bkg_B2
1465655737,609,274959,54,24,4.61581339829e-16,3.26232222438e-16,2.98737775539e-16,3.25867781849e-16
1465655739,66,274959,54,28,3.29712109923e-16,3.91479765067e-16,2.48953978615e-16,2.51807906197e-16
1465655740,523,274959,54,32,6.92418782694e-16,4.89347714476e-16,3.15349813185e-16,3.70298722225e-16
1465655741,980,274959,54,36,4.61593611423e-16,6.52470242063e-16,2.48957772858e-16,3.85116970874e-16
1465655743,437,274959,54,40,4.945738096e-16,3.58852710802e-16,3.31954426338e-16,2.51796727058e-16
1465655744,894,274959,54,44,5.27531614396e-16,4.5671034e-16,2.82159494482e-16,3.11041744464e-16
1465655746,350,274959,54,48,7.25345147885e-16,6.19858637913e-16,2.82162515851e-16,3.55493348432e-16
1465655747,807,274959,54,52,4.94566892126e-16,5.54618300085e-16,3.15363011437e-16,4.29563870135e-16
1465655749,264,274959,54,56,4.61602233881e-16,5.87242238556e-16,3.48552533608e-16,2.37010084853e-16
1465655750,721,274959,54,60,3.95660158863e-16,4.2414200565e-16,3.81761931404e-16,2.5182059157e-16
1465655752,178,274959,54,64,5.27554899578e-16,6.19862069927e-16,2.48970967562e-16,3.55506876518e-16
1465655753,635,274959,55,4,5.27532806384e-16,3.26231971777e-16,2.98757035979e-16,2.5181187374e-16
1465655755,92,274959,55,8,6.59438957468e-16,5.87257880706e-16,2.98758759525e-16,3.70315497831e-16
1465655756,549,274959,55,12,7.25354733412e-16,5.87243789011e-16,2.82164461992e-16,5.33271821207e-16
1465655758,6,274959,55,16,8.24299851383e-16,7.50333505277e-16,3.98347612973e-16,3.11072578985e-16
1465655759,463,274959,55,20,4.28626014509e-16,3.91477887949e-16,3.15362121347e-16,3.70330283552e-16
1465655760,920,274959,55,24,3.29708599558e-16,4.89360063771e-16,2.65566034819e-16,3.55516716279e-16
1465655762,377,274959,55,28,4.94577228253e-16,5.21997922519e-16,3.98356891846e-16,3.85139775851e-16
1465655763,834,274959,55,32,4.28626270438e-16,3.58880620886e-16,2.9877357488e-16,4.29594237918e-16
1465655765,291,274959,55,36,3.95657756968e-16,7.82970040432e-16,1.99176356088e-16,4.74007598371e-16
1465655766,747,274959,55,40,3.9565039244e-16,3.58871148864e-16,3.65171105371e-16,3.55511781258e-16
1465655768,204,274959,55,44,5.60517019492e-16,5.21976880574e-16,2.65572612375e-16,5.18460399331e-16
1465655769,661,274959,55,48,5.93485403878e-16,5.87214190801e-16,2.82171846819e-16,3.70319407953e-16
1465655771,118,274959,55,52,6.2644307931e-16,5.54591182154e-16,3.15371318558e-16,3.11071373766e-16
1465655772,575,274959,55,56,4.28612425762e-16,7.50317042877e-16,2.65570990365e-16,3.5550474097e-16
1465655774,32,274959,55,60,4.94550763479e-16,4.89338997459e-16,2.65572806168e-16,4.59178439867e-16
1465655775,489,274959,55,64,4.28627330451e-16,4.89331005908e-16,3.1537056805e-16,4.29553224826e-16
1465655776,946,274959,56,4,6.26450508499e-16,3.26226408156e-16,3.15380815991e-16,3.85136724867e-16
1465655778,403,274959,56,8,3.62682628011e-16,6.1984590256e-16,3.81778802945e-16,4.1478163575e-16
1465655779,860,274959,56,12,5.93473915561e-16,6.85098558367e-16,2.6557646166e-16,4.5922250602e-16
