#time_sec,time_ms,run,ls,nb,bcm1f_minus,bcm1f_plus
1465649596,642,274958,130,52,0.148352086544,0.116820923984
1465649598,99,274958,130,56,0.166108518839,0.116026215255
1465649599,556,274958,130,60,0.134033456445,0.123179428279
1465649601,51,274958,130,64,0.182723879814,0.0969548597932
1465649602,470,274958,131,4,0.116854391992,0.109672270715
1465649603,926,274958,131,8,0.125446647406,0.13271933794
1465649605,384,274958,131,12,0.111126407981,0.193914070725
1465649606,840,274958,131,16,0.131171792746,0.0961624607444
1465649608,297,274958,131,20,0.162675917149,0.102520309389
1465649609,754,274958,131,24,0.189026027918,0.107288531959
1465649611,249,274958,131,28,0.209641203284,0.162924692035
1465649612,669,274958,131,32,0.150643795729,0.111265651882
1465649614,125,274958,131,36,0.0807627663016,0.108088798821
1465649615,582,274958,131,40,0.156377613544,0.0786831229925
1465649617,39,274958,131,44,0.165542602539,0.0913995951414
1465649618,496,274958,131,48,0.164965048432,0.0627871975303
1465649619,953,274958,131,52,0.119141422212,0.116037108004
1465649621,448,274958,131,56,0.2623449862,0.12239574641
1465649622,868,274958,131,60,0.135184198618,0.100937157869
1465649624,324,274958,131,64,0.174707978964,0.136703759432
1465649625,781,274958,132,4,0.139193549752,0.0715310424566
1465649627,238,274958,132,8,0.202772781253,0.125578865409
1465649628,694,274958,132,12,0.0882118791342,0.0802750959992
1465649630,151,274958,132,16,0.195325419307,0.12478261441
1465649631,646,274958,132,20,0.0773289576173,0.122402690351
1465649633,65,274958,132,24,0.112842999399,0.0890201479197
1465649634,522,274958,132,28,0.213092967868,0.160552099347
1465649635,979,274958,132,32,0.210801661015,0.0977619290352
1465649637,436,274958,132,36,0.160391658545,0.185195788741
1465649638,892,274958,132,40,0.155807346106,0.263094484806
1465649640,350,274958,132,44,0.211370974779,0.12081682682
1465649641,845,274958,132,48,0.151796787977,0.0778971016407
1465649643,263,274958,132,52,0.142631724477,0.0818714424968
1465649644,720,274958,132,56,0.107114858925,0.121613927186
1465649646,177,274958,132,60,0.111701905727,0.120818175375
1465649647,634,274958,132,64,0.163256675005,0.063588514924
1465649649,92,274958,133,4,0.140340492129,0.131153702736
1465649650,548,274958,133,8,0.133466660976,0.123999863863
1465649652,44,274958,133,12,0.134038716555,0.100948169827
1465649653,462,274958,133,16,0.206800758839,0.0763073638082
1465649654,919,274958,133,20,0.167273715138,0.149435251951
1465649656,376,274958,133,24,0.195913434029,0.118435680866
1465649657,833,274958,133,28,0.17013438046,0.15500728786
1465649659,291,274958,133,32,0.13862799108,0.0914145410061
1465649660,748,274958,133,36,0.111706323922,0.0699489936233
1465649662,242,274958,133,40,0.142067447305,0.170906290412
1465649663,661,274958,133,44,0.126600459218,0.125596255064
1465649665,118,274958,133,48,0.164410129189,0.115263216197
1465649666,576,274958,133,52,0.15753865242,0.150240108371
1465649532,538,274958,128,4,0.138012632728,0.100100748241
1465649261,550,274958,116,28,0.152224421501,0.126168057323
1465649668,31,274958,133,56,0.122020840645,0.0930057838559
1465649669,489,274958,133,60,0.197064071894,0.0858519077301
1465649670,946,274958,133,64,0.144367009401,0.113675422966
1465649672,444,274958,134,4,0.204519912601,0.110495693982
1465649673,860,274958,134,8,0.120876848698,0.209862992167
1465649675,316,274958,134,12,0.171289905906,0.166142165661
1465649676,773,274958,134,16,0.104836300015,0.0333874188364
1465649678,229,274958,134,20,0.180454313755,0.0858540907502
1465649679,687,274958,134,24,0.168423399329,0.0945968776941
1465649681,143,274958,134,28,0.112282283604,0.14547252655
1465649682,639,274958,134,32,0.203373134136,0.110496327281
1465649684,73,274958,134,36,0.143220514059,0.151833072305
1465649685,515,274958,134,40,0.160983756185,0.159785032272
1465649686,972,274958,134,44,0.149523735046,0.193967625499
1465649688,429,274958,134,48,0.257799565792,0.104138351977
1465649689,886,274958,134,52,0.107129104435,0.0898321196437
1465649691,342,274958,134,56,0.140929192305,0.123221054673
1465649692,837,274958,134,60,0.189629361033,0.190791592002
1465649694,256,274958,134,64,0.158123522997,0.101756133139
1465649695,713,274958,135,4,0.185050323606,0.107320934534
1465649697,169,274958,135,8,0.134059816599,0.11447738111
1465649698,626,274958,135,12,0.173017352819,0.174101009965
1465649700,83,274958,135,16,0.131769746542,0.123222671449
1465649701,540,274958,135,20,0.154109716415,0.0874483287334
1465649703,35,274958,135,24,0.201087370515,0.120837688446
1465649704,455,274958,135,28,0.143225520849,0.139125272632
1465649705,911,274958,135,32,0.195932552218,0.0882451683283
1465649707,368,274958,135,36,0.151245251298,0.151047304273
1465649708,825,274958,135,40,0.112287558615,0.106531105936
1465649710,284,274958,135,44,0.197649016976,0.101761065423
1465649711,740,274958,135,48,0.117440894246,0.0906302034855
1465649713,234,274958,135,52,0.124888367951,0.070755161345
1465649714,654,274958,135,56,0.270980387926,0.133562862873
1465649716,110,274958,135,60,0.0813501775265,0.118456959724
1465649717,567,274958,135,64,0.175303891301,0.17092782259
1465649719,263,274958,136,4,0.179892733693,0.120840065181
1465649720,482,274958,136,8,0.146088972688,0.112101502717
