fill|start_time|start_stable_beam|end_stable_beam|end_time|wloopTS|slinkTS
4979|20160601.111828|20160601.150157|20160602.022403|20160602.023203|20160601.122033 20160601.141912 20160601.182917|20160601.150201
4980|20160602.023203|20160602.090934|20160603.024406|20160603.030130|20160602.034318 20160602.083045|20160602.090946
4984|20160603.104035|20160603.153642|20160603.155754|20160603.160804|20160603.120829 20160603.145749 20160603.151137|20160603.153652
4985|20160603.160804|20160603.190920|20160604.091944|20160604.092631|20160603.164901 20160603.183249|20160603.190924
4988|20160604.180137|20160604.201547|20160605.140437|20160605.141153|20160604.193712 20160605.122123|20160604.201558
4990|20160605.163303|20160605.193137|20160606.063404|20160606.064203|20160605.171502 20160605.185246|20160605.193146
5005|20160611.061801|20160611.093953|20160611.164024|20160611.164816|20160611.073321 20160611.090118 20160611.094006 20160611.094046|20160611.093957
5013|20160611.203311|20160611.222219|20160612.192507|20160612.194032|20160611.215017 20160612.084434|20160611.222234
5017|20160612.232531|20160613.041811|20160614.073605|20160614.081257|20160613.023148 20160613.034750 20160613.212452|20160613.041828
5020|20160614.135114|20160614.164845|20160615.111033|20160615.111729|20160614.161214|20160614.164854
5021|20160615.111729|20160615.174920|20160616.022440|20160616.023142|20160615.143204 20160615.170259|20160615.174928
5024|20160616.193638|20160617.000433|20160617.085535|20160617.090604|20160616.222457 20160616.232706|20160617.000444
5026|20160617.111225|20160617.134714|20160618.141355|20160618.142242|20160617.130951|20160617.134718
5027|20160618.142242|20160618.185507|20160619.033745|20160619.035214|20160618.154938 20160618.175721|20160618.185520
5028|20160619.035214|20160619.081722|20160619.122922|20160619.124150|20160619.063723 20160619.073917|20160619.081727
5029|20160619.124150|20160619.161838|20160619.215816|20160619.221224|20160619.142239 20160619.154328 20160619.214341|20160619.161841
5030|20160619.221224|20160620.015830|20160621.065810|20160621.070433|20160620.000841 20160620.012306|20160620.015835
5038|20160623.215853|20160624.032432|20160624.063836|20160624.064924|20160624.003929 20160624.023115|20160624.032434
5043|20160625.014906|20160625.034357|20160626.062342|20160626.063100|20160625.025947 20160625.214457|20160625.034359
5045|20160626.103306|20160626.153904|20160628.044054|20160628.045020|20160626.132130 20160626.150532 20160626.214830 20160627.131905|20160626.153911
5048|20160628.065458|20160628.083819|20160628.182916|20160628.185146|20160628.080434|20160628.083824
5052|20160629.001023|20160629.014843|20160629.170917|20160629.172048|20160629.011616|20160629.014845
5056|20160629.224440|20160630.010151|20160630.013838|20160630.014640|20160629.230217 20160629.230724 20160629.230912 20160629.231551 20160629.231745 20160629.232109 20160629.232428 20160630.002651|20160630.010153
5059|20160630.131901|20160630.165843|20160630.201107|20160630.201836|20160630.143544 20160630.162116|20160630.165848
5060|20160630.201836|20160701.021331|20160701.062438|20160701.063256|20160630.221238 20160630.221354 20160701.002809 20160701.014020|20160701.021342
5068|20160702.011450|20160702.035750|20160702.074024|20160702.075110|20160702.015424 20160702.032025|20160702.035752
5069|20160702.075110|20160702.111921|20160703.125233|20160703.130046|20160702.083023 20160702.094758 20160702.104111 20160702.223358|20160702.111931
5071|20160703.144346|20160703.181407|20160704.081558|20160704.082236|20160703.160247 20160703.173749 20160703.223056|20160703.181409
5072|20160704.082236|20160704.111758|20160704.175109|20160704.180553|20160704.091923 20160704.104356|20160704.111801
5073|20160704.180553|20160704.211909|20160705.210323|20160705.211134|20160704.191645 20160704.204347 20160705.194259|20160704.211910
5076|20160706.003341|20160706.025757|20160707.041611|20160707.042345|20160706.011226 20160706.022624 20160706.054202 20160706.075310 20160706.075748 20160707.021620|20160706.025757
5078|20160707.074639|20160707.111949|20160708.101050|20160708.101803|20160707.100808 20160707.103938 20160708.042619 20160708.042813|20160707.112001
5080|20160708.120957|20160708.141352|20160709.123546|20160709.124744|20160708.133555|20160708.141352
5083|20160709.143534|20160709.163116|20160710.062152|20160710.063007|20160709.155535|20160709.163117
5085|20160710.095429|20160710.122326|20160711.104722|20160711.105713|20160710.104153 20160710.114806 20160710.150316|20160710.122326
5091|20160711.221531|20160712.001136|20160712.121706|20160712.123115|20160711.233817 20160712.103616|20160712.001139
5093|20160712.180800|20160712.212515|20160713.225213|20160713.225850|20160712.190203 20160712.203950|20160712.212530
5095|20160714.005200|20160714.032257|20160715.045520|20160715.050319|20160714.011342 20160714.012755 20160714.025103 20160714.080521|20160714.032258
5096|20160715.050319|20160715.074646|20160716.065811|20160716.070524|20160715.053952 20160715.071257|
5097|20160716.070524|20160716.110104|20160717.090735|20160717.091400|20160716.074028 20160716.124249|20160716.110111
